Município,Ano de Referência,Coletado,Recicláveis,Papel e Papelão,Plástico,Metais,Vidros,Outros
Guaratinguetá,2022,26678.80,420.10,283.00,50.70,30.70,55.70,0.00
Guareí,2022,2380.00,662.00,294.00,140.00,105.00,63.00,60.00
Guariba,2022,20204.00,228.00,,,,,
Guarujá,2022,162530.60,2428.50,638.70,1100.10,471.10,218.60,0.00
Guarulhos,2022,356595.80,3564.00,1608.70,1014.10,293.90,647.30,0.00
Guatapará,2022,1493.00,,,,,,
Guzolândia,2022,930.00,184.00,58.00,36.00,75.00,10.00,5.00
Herculândia,2022,2477.60,128.00,,,,,
Holambra,2022,4837.20,261.00,,,,,
Hortolândia,2022,57298.00,606.30,303.00,87.80,87.20,63.00,65.30
Iacanga,2022,2744.10,74.20,33.50,10.20,11.60,15.10,3.80
Iacri,2022,1250.00,,,,,,
Iaras,2022,815.00,20.00,8.00,3.50,1.00,4.00,3.50
Ibaté,2022,13604.00,127.00,58.00,19.00,22.00,18.00,10.00
Ibirá,2022,1424.80,122.00,41.00,30.00,20.00,20.00,15.00
Ibirarema,2022,5287.60,,,,,,
Ibitinga,2022,15966.40,,,,,,
Ibiúna,2022,25000.00,,,,,,
Icém,2022,1560.00,,,,,,
Iepê,2022,2000.00,,,,,,
Igaraçu do Tietê,2022,8619.50,,,,,,
Igarapava,2022,7820.00,,,,,,
Igaratá,2022,4200.00,,,,,,
Iguape,2022,15748.90,,,,,,
Ilhabela,2022,35781.80,1287.40,918.10,138.60,76.20,154.50,0.00
Ilha Solteira,2022,7775.20,515.40,201.40,132.60,33.10,141.50,6.80
Indaiatuba,2022,83753.40,1029.90,415.70,181.20,80.20,329.30,23.50
Indiana,2022,2000.00,,,,,,
Indiaporã,2022,1250.00,250.00,50.00,50.00,100.00,25.00,25.00
Inúbia Paulista,2022,961.00,104.00,42.00,23.00,6.00,26.00,7.00
Ipaussu,2022,1538.50,28.00,13.00,10.00,4.00,1.00,0.00
Iperó,2022,12779.70,50.10,34.50,15.60,0.00,0.00,0.00
Ipeúna,2022,2278.00,,,,,,
Ipiguá,2022,1327.40,,,,,,
Iporanga,2022,300.00,42.50,10.00,10.00,7.50,7.50,7.50
Ipuã,2022,6021.00,44.80,,,,,
Iracemápolis,2022,5342.00,,,,,,
Irapuã,2022,2612.00,,,,,,
Irapuru,2022,1791.00,126.00,,,,,
Itaberá,2022,10200.00,1000.00,300.00,150.00,350.00,100.00,100.00
Itaí,2022,5833.00,240.00,,,,,
Itajobi,2022,3780.00,,,,,,
Itaju,2022,620.00,,,,,,
Itanhaém,2022,43847.00,166.90,91.90,40.60,14.50,19.90,0.00
Itaóca,2022,591.00,48.80,18.20,14.80,10.00,2.80,3.00
Itapecerica da Serra,2022,54976.80,251.00,122.50,87.50,12.50,22.50,6.00
Itapetininga,2022,33997.00,551.00,,,,,
Itapeva,2022,20000.00,,,,,,
Itapevi,2022,61107.90,2224.40,902.70,371.70,134.90,258.60,556.50
Itapira,2022,22980.00,429.00,240.00,60.00,48.00,76.00,5.00
Itapirapuã Paulista,2022,698.00,,,,,,
Itápolis,2022,12656.40,,,,,,
Itaporanga,2022,3327.00,930.00,480.00,192.00,84.00,84.00,90.00
Itapuí,2022,3610.00,18.00,2.50,4.50,2.50,5.50,3.00
Itapura,2022,1580.00,,,,,,
Itaquaquecetuba,2022,115760.70,,,,,,
Itararé,2022,7530.00,300.00,,,,,
Itariri,2022,4527.60,,,,,,
Itatiba,2022,32619.70,1338.90,650.30,347.80,81.50,259.00,0.30
Itatinga,2022,4010.00,50.00,,,,,
Itirapina,2022,7028.00,247.00,,,,,
Itirapuã,2022,1157.00,98.00,10.00,16.00,10.00,22.00,40.00
Itobi,2022,1822.00,,,,,,
Itu,2022,55203.10,2380.70,1276.20,385.90,270.60,408.00,40.00
Itupeva,2022,20285.90,829.50,485.00,150.50,26.00,156.00,12.00
Ituverava,2022,16960.00,588.00,30.00,89.00,254.00,71.00,144.00
Jaborandi,2022,2390.00,120.00,12.00,25.00,32.00,8.00,43.00
Jaboticabal,2022,17809.00,128.00,80.00,30.00,3.00,10.00,5.00
Jacareí,2022,82821.40,1599.30,,,,,
Jaci,2022,2395.00,,,,,,
Jacupiranga,2022,2160.00,,,,,,
Jaguariúna,2022,19005.60,633.80,266.20,136.30,38.00,182.50,10.80
Jales,2022,18673.00,685.70,486.90,75.80,81.00,42.00,0.00
Jambeiro,2022,2778.20,12.80,4.50,1.50,3.00,1.80,2.00
Jandira,2022,30998.20,,,,,,
Jardinópolis,2022,11068.70,,,,,,
Jarinu,2022,18250.00,,,,,,
Jaú,2022,36000.00,,,,,,
Jeriquara,2022,696.00,,,,,,
Joanópolis,2022,4926.10,180.00,125.00,24.00,1.00,30.00,0.00
João Ramalho,2022,639.10,,,,,,
José Bonifácio,2022,12000.00,3000.00,3000.00,0.00,0.00,0.00,0.00
Júlio Mesquita,2022,2599.50,,,,,,
Jumirim,2022,667.00,,,,,,
Jundiaí,2022,133620.30,2035.10,1052.40,351.50,97.00,431.30,102.90
Junqueirópolis,2022,5378.00,800.00,,,,,
Juquiá,2022,2880.00,,,,,,
Juquitiba,2022,6315.00,315.00,160.00,32.00,110.00,1.00,12.00
Lagoinha,2022,947.00,,,,,,
Laranjal Paulista,2022,10318.40,55.00,,,,,
Lavínia,2022,1492.00,11.80,6.40,2.90,0.70,1.80,0.00
Lavrinhas,2022,1700.00,,,,,,
Leme,2022,23380.00,850.00,,,,,
Lençóis Paulista,2022,19140.00,1440.00,432.00,303.00,245.00,110.00,350.00
Limeira,2022,71622.90,927.00,743.00,121.00,30.00,27.00,6.00
Lindóia,2022,1597.60,,,,,,
Lins,2022,51287.60,692.70,68.30,31.50,453.40,139.50,0.00
Lorena,2022,16932.20,,,,,,
Lourdes,2022,413.00,30.00,7.00,10.00,13.00,0.00,0.00
Louveira,2022,21147.70,1584.10,586.10,570.30,253.40,152.10,22.20
Lucélia,2022,5200.00,120.00,,,,,
Lucianópolis,2022,470.00,14.00,7.00,3.00,2.00,2.00,0.00
Luís Antônio,2022,5535.00,120.00,40.00,22.00,10.00,30.00,18.00
Luiziânia,2022,408.00,,,,,,
Lupércio,2022,728.20,,,,,,
Lutécia,2022,803.50,56.00,18.00,5.00,5.00,20.00,8.00
Macatuba,2022,3420.00,270.00,,,,,
Macaubal,2022,1910.00,,,,,,
Macedônia,2022,1040.00,,,,,,
Magda,2022,780.00,130.00,50.00,50.00,15.00,10.00,5.00
Mairinque,2022,14400.00,,,,,,
Mairiporã,2022,31535.00,296.00,165.00,42.00,1.00,65.00,23.00
Manduri,2022,2353.80,286.20,34.60,39.70,174.10,2.30,35.50
Marabá Paulista,2022,192.00,5.60,1.00,2.00,2.10,0.50,0.00
Maracaí,2022,3875.00,200.00,0.00,0.00,0.00,0.00,200.00
Marapoama,2022,841.00,,,,,,
Mariápolis,2022,1015.90,,,,,,
Marília,2022,59243.50,,,,,,
Marinópolis,2022,430.00,,,,,,
Martinópolis,2022,6118.00,515.10,241.20,119.00,7.90,96.00,51.00
Matão,2022,24183.80,772.00,392.80,193.90,93.00,68.30,24.00
Mauá,2022,138266.30,486.00,295.60,105.60,40.80,35.90,8.10
Mendonça,2022,1640.00,,,,,,
Meridiano,2022,976.90,6.70,1.20,0.60,0.40,0.50,4.00
Mesópolis,2022,168.00,20.00,,,,,
Miguelópolis,2022,10800.00,,,,,,
Miracatu,2022,5441.00,,,,,,
Mira Estrela,2022,1005.00,17.50,6.00,8.00,2.00,1.00,0.50
Mirandópolis,2022,6380.50,211.40,113.10,39.10,26.70,32.50,0.00
Mirante do Paranapanema,2022,3880.00,75.00,30.00,10.00,0.00,8.00,27.00
Mirassol,2022,16836.50,5196.00,3325.00,1559.00,155.00,105.00,52.00
Mirassolândia,2022,1650.00,44.50,8.00,5.00,29.00,2.00,0.50
Mococa,2022,15605.90,,,,,,
